Provinsi,Tingkat NEET (%) (2024),TPT (%) (Feb 2023),RLS (Tahun) (2024),PDRB per Kapita (Juta Rp) (2023),Penduduk Perkotaan (%) (2023)
Aceh,28.56,5.75,9.95,41.42,N/A
Sumatera Utara,19.78,5.24,10.18,68.31,N/A
Sumatera Barat,21.31,5.9,9.72,54.33,N/A
Riau,21.79,4.25,9.69,154.52,N/A
Jambi,20.71,4.5,9.26,79.84,N/A
Sumatera Selatan,23.36,4.53,8.98,71.95,N/A
Bengkulu,20.92,3.21,9.4,46.29,N/A
Lampung,22.53,4.18,8.8,48.19,N/A
Kep. Bangka Belitung,21.26,3.89,8.78,67.89,N/A
Kep. Riau,14.52,7.61,10.65,154.18,N/A
DKI Jakarta,15.19,7.57,11.49,322.62,N/A
Jawa Barat,23.49,7.89,9.24,52.65,N/A
Jawa Tengah,17.93,5.24,8.47,45.2,N/A
DI Yogyakarta,11.18,3.58,10.23,48.36,N/A
Jawa Timur,17.02,4.33,8.69,71.12,N/A
Banten,23.79,7.97,9.55,66.15,N/A
Bali,7.26,3.73,9.87,62.29,N/A
Nusa Tenggara Barat,15.44,3.73,8.5,29.93,N/A
Nusa Tenggara Timur,17.02,3.1,8.48,23.08,N/A
Kalimantan Barat,21.22,4.52,8.28,48.81,N/A
Kalimantan Tengah,21.78,3.84,9.17,75.29,N/A
Kalimantan Selatan,18.69,3.95,9.02,63.78,N/A
Kalimantan Timur,19.35,6.37,10.22,215.76,N/A
Kalimantan Utara,16.87,4.1,9.58,201.75,N/A
Sulawesi Utara,28.33,6.19,10.02,64.13,N/A
Sulawesi Tengah,20.67,3.49,9.28,112.46,N/A
Sulawesi Selatan,21.65,5.26,9.22,69.7,N/A
Sulawesi Tenggara,19.78,3.66,9.74,64.09,N/A
Gorontalo,21.89,3.07,8.64,42.35,N/A
Sulawesi Barat,20.25,3.04,8.56,39.53,N/A
Maluku,29.43,6.08,10.44,30.46,N/A
Maluku Utara,27.85,4.6,9.7,63.68,N/A
Papua Barat,26.93,5.53,9.87,108.1,N/A
Papua,27.85,3.49,10.7,78.06,N/A
Papua Selatan,23.96,N/A,8.99,58.68,N/A
Papua Tengah,31.2,N/A,6.17,10.35,N/A
Papua Pegunungan,17.74,N/A,5.1,16.87,N/A
Papua Barat Daya,25.04,N/A,10.48,58.45,N/A
