Provinsi,Indeks_Pembangunan
DKI Jakarta,4.062165987029443
Kalimantan Timur,2.376867500726067
Kalimantan Utara,2.1568260561116306
Kepulauan Riau,1.529909457285591
Bali,1.3749412924523081
Riau,1.2118766484810086
Kep. Riau,1.1287450829653418
DI Yogyakarta,1.067484219367332
Kalimantan Tengah,0.8738660921302537
Kalimantan Selatan,0.8074205093025317
Sulawesi Utara,0.7913614338087227
Kep. Bangka Belitung,0.5862871516551095
Sumatera Utara,0.5297686428610481
Sumatera Barat,0.4307184391882727
Jambi,0.3845440006990152
Papua Barat Daya,0.3534019919486143
Sulawesi Selatan,0.2772044188517977
Banten,0.2548513356559472
Maluku Utara,0.2509127547395169
Jawa Timur,-0.002084897106317651
Kalimantan Barat,-0.024131629918860076
Sulawesi Tenggara,-0.09031461658528703
Sulawesi Tengah,-0.17072721426009074
Jawa Tengah,-0.18517227770739034
Jawa Barat,-0.22879261029387982
Papua Selatan,-0.34596053835624085
Sumatera Selatan,-0.4755101617711889
Lampung,-0.575189915250062
Bengkulu,-0.6247967663254385
Gorontalo,-0.6589342755217256
Sulawesi Barat,-0.7383940475425431
Papua Pegunungan,-0.9984420073369236
Maluku,-1.0778295033167813
Nusa Tenggara Barat,-1.253112531184134
Aceh,-1.5992924448260872
Papua Barat,-1.9998217840282064
Nusa Tenggara Timur,-2.0592163635196727
Papua Tengah,-2.0600841183355847
Papua,-5.281345312073139
